,id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
34,quant,35,QNT,Quant,12072738.0000000000000000,14881364.0000000000000000,1151921178.3649772245007064,11325089.3123155315696292,95.4150730650310828,6.4570061023192358,92.0559409791752117,https://etherscan.io/token/0x4a220e6096b25eadb88358cb44068a3248254675
35,near-protocol,36,NEAR,NEAR Protocol,985928694.0000000000000000,,1050049562.8290917957412750,11826084.7726138549239141,1.0650360104329125,2.1877456133194322,1.0384055014063116,https://explorer.nearprotocol.com/
36,stacks,37,STX,Stacks,1414072854.8361170000000000,1818000000.0000000000000000,917736054.5525440653380250,14310101.4135008510980417,0.6490019601280759,4.7542322852845688,0.6244673207137869,https://explorer.xinfin.network/
37,the-graph,38,GRT,The Graph,9270054138.1876220000000000,,798748597.7267792788754348,16885512.1351564714885132,0.0861643940606955,3.6524909720372654,0.0833368718208353,https://etherscan.io/token/0xc944e90c64b2c07662a292be6244bdf05cda44a7
38,algorand,39,ALGO,Algorand,7927079994.6897940000000000,10000000000.0000000000000000,754407954.3902198338632052,24378077.7139579811323888,0.0951684548277025,0.9968642656580421,0.0934925180878266,https://algoexplorer.io/
39,render-token,40,RNDR,Render Token,369614008.1087959400000000,536870912.0000000000000000,746729353.7029364782874427,5644036.7998894298675538,2.0202950573321793,2.1079628665556422,1.9802869709025691,https://etherscan.io/token/0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24
40,hedera-hashgraph,41,HBAR,Hedera Hashgraph,14832756028.0000000000000000,50000000000.0000000000000000,741431178.3370235630657888,24979852.7998411334653388,0.0499860698131496,1.6425981372377740,0.0491224628192963,https://hash-hash.info/
41,injective-protocol,42,INJ,Injective,73005554.3300000000000000,100000000.0000000000000000,682595751.8628638983753615,19029343.4530799688598903,9.3499153335291701,4.3282846944130699,9.0543351621353864,https://etherscan.io/token/0xe28b3b32b6c345a34ff64674606124dd5aceca30
42,elrond-egld,43,EGLD,MultiversX,24184559.1898415400000000,31415926.0000000000000000,650140590.0140003738588210,10347413.9736835012963799,26.8824659945460089,3.9364473830332475,26.0746102850732106,https://explorer.elrond.com/
43,tezos,44,XTZ,Tezos,956696596.7988500000000000,,649161901.4946784906863552,9615628.7564850188714152,0.6785452186898161,1.7128175891048706,0.6681894238091898,https://tzkt.io/
44,the-sandbox,45,SAND,The Sandbox,2067931926.2233226000000000,3000000000.0000000000000000,646379308.5827924246074434,11905452.8004049734282567,0.3125728175024016,0.5273694184489869,0.3052624544203742,https://etherscan.io/token/0x3845badAde8e6dFF049820680d1F14bD3903a5d0
45,axie-infinity,46,AXS,Axie Infinity,141311982.8248294000000000,270000000.0000000000000000,639394146.2804960942999722,19382254.7389496127146101,4.5246987091893706,2.0768375645538323,4.4303149079889139,https://etherscan.io/token/0xf5d669627376ebd411e34b98f19c868c8aba5ada
46,eos,47,EOS,EOS,1105922235.5991000000000000,,629961592.0320467665384576,33325993.3328838778265167,0.5696255774175515,1.8398017779839588,0.5553417095691060,https://bloks.io/
47,thorchain,48,RUNE,THORChain,339089218.0000000000000000,500000000.0000000000000000,624967142.8364548570009104,20921132.5769801852783005,1.8430758327339528,4.0775047217749797,1.8128161837555146,https://explorer.binance.org/asset/RUNE-B1A
48,theta,49,THETA,THETA,1000000000.0000000000000000,1000000000.0000000000000000,620118468.1051477000000000,4663590.4723763186369725,0.6201184681051477,2.1346874504950213,0.6079503904569386,https://explorer.thetatoken.org/
49,fantom,50,FTM,Fantom,2803634835.5265927000000000,3175000000.0000000000000000,600228014.7571471496513523,32447721.4193440495620917,0.2140892270103390,7.1038628731022668,0.2027275573683321,https://etherscan.io/token/0x4e15361fd6b4bb609fa63c81a2be19d873717870
